epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.813,1.37118,2.35236,1.65819,0.36179,0.35063,0.28329,0.1168,1.76346,2.52544,2.03425,0.000553129,0.000553129,0.000553129
2,159.167,1.41328,2.08472,1.69949,0.46465,0.35373,0.32751,0.13912,1.90569,2.50667,2.22867,0.00107221,0.00107221,0.00107221
3,236.907,1.42927,2.03884,1.71709,0.34779,0.35348,0.27126,0.11652,1.82481,2.70829,2.10197,0.00155461,0.00155461,0.00155461
4,309.317,1.39899,1.98798,1.68852,0.41446,0.36556,0.31612,0.14124,1.81242,2.29713,2.12566,0.00150197,0.00150197,0.00150197
5,386.289,1.37766,1.93562,1.67246,0.48447,0.44027,0.41158,0.18699,1.75161,2.09664,1.96933,0.00144696,0.00144696,0.00144696
6,460.054,1.35238,1.89474,1.65501,0.49217,0.42426,0.40593,0.18565,1.70652,2.13069,1.9742,0.00139195,0.00139195,0.00139195
7,533.914,1.32736,1.86365,1.62998,0.53724,0.4184,0.43195,0.21293,1.67142,1.99852,1.88448,0.00133693,0.00133693,0.00133693
8,610.404,1.30842,1.83423,1.62445,0.50197,0.47661,0.43147,0.21979,1.63823,2.0767,1.85256,0.00128192,0.00128192,0.00128192
9,686.292,1.28705,1.79825,1.60402,0.48795,0.43757,0.41835,0.20272,1.61083,2.00342,1.84196,0.00122691,0.00122691,0.00122691
10,762.295,1.26501,1.76962,1.58725,0.52957,0.47298,0.45301,0.23538,1.57516,1.93323,1.77947,0.0011719,0.0011719,0.0011719
11,842.397,1.2513,1.76046,1.58014,0.56724,0.46376,0.47486,0.25228,1.55449,1.87118,1.78903,0.00111689,0.00111689,0.00111689
12,917.908,1.23859,1.73446,1.5858,0.58123,0.46612,0.46751,0.24707,1.52078,1.93281,1.75487,0.00106188,0.00106188,0.00106188
13,999.391,1.23295,1.71063,1.57286,0.51182,0.45429,0.45183,0.23572,1.60333,1.9464,1.83884,0.00100687,0.00100687,0.00100687
14,1074.46,1.22357,1.69194,1.5606,0.53786,0.4761,0.48121,0.25445,1.51727,1.83911,1.79755,0.000951857,0.000951857,0.000951857
15,1149.85,1.21651,1.69061,1.55322,0.57933,0.49548,0.49117,0.26473,1.48411,1.81865,1.71642,0.000896846,0.000896846,0.000896846
16,1227.26,1.19499,1.66113,1.54626,0.57127,0.50104,0.48566,0.26456,1.45994,1.81547,1.72589,0.000841835,0.000841835,0.000841835
17,1301.74,1.18341,1.61908,1.52939,0.56193,0.50708,0.50234,0.28411,1.43844,1.77198,1.67282,0.000786824,0.000786824,0.000786824
18,1378.96,1.19482,1.64392,1.53885,0.56431,0.51991,0.52992,0.28478,1.48479,1.79679,1.72538,0.000731813,0.000731813,0.000731813
19,1452.13,1.16643,1.6082,1.51875,0.57846,0.48575,0.50922,0.28723,1.40999,1.78098,1.67159,0.000676802,0.000676802,0.000676802
20,1524.37,1.17204,1.59969,1.51945,0.57641,0.50885,0.52914,0.30056,1.40695,1.70956,1.63978,0.000621791,0.000621791,0.000621791
21,1600.54,1.32783,1.71901,1.69023,0.55831,0.50407,0.50028,0.28231,1.39044,1.71251,1.65322,0.00056678,0.00056678,0.00056678
22,1670.02,1.29651,1.64952,1.66127,0.58817,0.50935,0.53461,0.30061,1.38975,1.68626,1.62698,0.000511769,0.000511769,0.000511769
23,1741.11,1.26835,1.62721,1.63832,0.60128,0.5132,0.53958,0.31664,1.35062,1.66687,1.59759,0.000456758,0.000456758,0.000456758
24,1813.51,1.25833,1.6012,1.62767,0.63309,0.51454,0.54563,0.31551,1.34726,1.64946,1.59808,0.000401747,0.000401747,0.000401747
25,1882.46,1.24131,1.57842,1.61347,0.625,0.52797,0.56139,0.32587,1.33653,1.6122,1.58585,0.000346736,0.000346736,0.000346736
26,1955.02,1.22701,1.53818,1.6013,0.63206,0.50821,0.56516,0.33364,1.32951,1.60662,1.58515,0.000291725,0.000291725,0.000291725
27,2024.87,1.20922,1.52259,1.58795,0.6186,0.53277,0.57365,0.33861,1.32711,1.5898,1.56557,0.000236714,0.000236714,0.000236714
28,2095.59,1.19777,1.49943,1.57289,0.60978,0.54351,0.5734,0.3328,1.3227,1.58008,1.55997,0.000181703,0.000181703,0.000181703
29,2169.7,1.184,1.47687,1.56007,0.60278,0.54939,0.57576,0.34173,1.30904,1.57454,1.5488,0.000126692,0.000126692,0.000126692
30,2241.61,1.18232,1.45502,1.56026,0.63274,0.55201,0.57736,0.34373,1.31013,1.56058,1.54243,7.1681e-05,7.1681e-05,7.1681e-05
