epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.0022,2.93722,3.43589,3.68245,0.18942,0.18993,0.12603,0.04829,2.37955,3.58387,3.1454,0.000553129,0.000553129,0.000553129
2,161.677,2.14785,2.83667,2.66547,0.36885,0.21648,0.17976,0.06296,2.19244,3.16691,2.77844,0.00108684,0.00108684,0.00108684
3,235.429,1.87786,2.53758,2.35183,0.25804,0.27788,0.18493,0.06893,2.03185,2.86917,2.5233,0.00159855,0.00159855,0.00159855
4,311.358,1.74241,2.41859,2.20685,0.30693,0.34845,0.24956,0.10741,1.87504,2.64918,2.41728,0.00156798,0.00156798,0.00156798
5,384.339,1.66124,2.3087,2.11819,0.31397,0.37692,0.28678,0.12813,1.87136,2.42716,2.33978,0.00153497,0.00153497,0.00153497
6,461.394,1.61592,2.25285,2.06775,0.42444,0.34314,0.32084,0.13494,1.87697,2.35449,2.33553,0.00150197,0.00150197,0.00150197
7,533.908,1.57475,2.20316,2.02329,0.39527,0.40111,0.3473,0.15833,1.85301,2.2914,2.28535,0.00146896,0.00146896,0.00146896
8,608.044,1.54194,2.1651,1.9875,0.43396,0.40586,0.3623,0.17099,1.7646,2.23144,2.22609,0.00143595,0.00143595,0.00143595
9,684.096,1.5159,2.1174,1.96546,0.47913,0.43682,0.39792,0.18853,1.72027,2.15761,2.14393,0.00140295,0.00140295,0.00140295
10,757.698,1.48785,2.09205,1.93063,0.45427,0.40457,0.35677,0.16675,1.70901,2.26171,2.14752,0.00136994,0.00136994,0.00136994
11,830.257,1.46852,2.06592,1.91934,0.48156,0.42173,0.41726,0.19885,1.69268,2.16961,2.11285,0.00133693,0.00133693,0.00133693
12,907.136,1.4613,2.02721,1.91006,0.53038,0.40904,0.4129,0.20313,1.66653,2.09714,2.08198,0.00130393,0.00130393,0.00130393
13,979.388,1.43541,2.00798,1.88476,0.48585,0.42346,0.39724,0.19019,1.72826,2.15352,2.13101,0.00127092,0.00127092,0.00127092
14,1054.74,1.43091,1.9952,1.87176,0.52245,0.42976,0.43555,0.21782,1.63816,2.07184,2.064,0.00123791,0.00123791,0.00123791
15,1127.36,1.41546,1.98538,1.85701,0.49624,0.42016,0.4011,0.19909,1.63295,2.10238,2.01385,0.00120491,0.00120491,0.00120491
16,1200.16,1.39356,1.95355,1.84619,0.51777,0.46193,0.44824,0.23811,1.59613,1.98059,2.01358,0.0011719,0.0011719,0.0011719
17,1275.57,1.3825,1.9253,1.83692,0.49075,0.47059,0.4447,0.2281,1.61839,1.97422,2.03667,0.00113889,0.00113889,0.00113889
18,1348.88,1.39734,1.95263,1.8441,0.4874,0.43172,0.41938,0.22057,1.63769,2.09087,2.05291,0.00110589,0.00110589,0.00110589
19,1422.45,1.36641,1.90641,1.8232,0.51905,0.48669,0.44403,0.23013,1.60244,1.97393,2.02398,0.00107288,0.00107288,0.00107288
20,1501.4,1.36882,1.9014,1.81866,0.52782,0.46352,0.46675,0.25294,1.53003,1.92699,1.94816,0.00103987,0.00103987,0.00103987
21,1575.45,1.35448,1.88567,1.80609,0.56935,0.45783,0.47002,0.24889,1.55055,1.92652,1.94574,0.00100687,0.00100687,0.00100687
22,1650.99,1.35005,1.87758,1.79446,0.55681,0.465,0.46985,0.24408,1.60089,1.94642,1.97661,0.000973861,0.000973861,0.000973861
23,1723.79,1.34758,1.86752,1.79776,0.56702,0.46452,0.48475,0.25897,1.5413,1.91287,1.92603,0.000940855,0.000940855,0.000940855
24,1797.18,1.32728,1.84796,1.78746,0.52332,0.46822,0.45903,0.25139,1.54713,1.93735,1.94692,0.000907848,0.000907848,0.000907848
25,1875.28,1.31796,1.82419,1.77349,0.58794,0.46049,0.48725,0.26201,1.56604,1.87622,1.93956,0.000874842,0.000874842,0.000874842
26,1948.48,1.30714,1.82486,1.76836,0.566,0.4713,0.48361,0.26278,1.53042,1.86306,1.92198,0.000841835,0.000841835,0.000841835
27,2024.23,1.30435,1.81847,1.76619,0.50957,0.49047,0.46918,0.25514,1.53112,1.88248,1.93928,0.000808828,0.000808828,0.000808828
28,2097.58,1.29882,1.82137,1.76212,0.57042,0.46763,0.49919,0.26602,1.54452,1.87242,1.9225,0.000775822,0.000775822,0.000775822
29,2171.09,1.30766,1.79658,1.76166,0.56285,0.4884,0.50294,0.2773,1.49893,1.83533,1.88341,0.000742815,0.000742815,0.000742815
30,2248.32,1.29104,1.77348,1.74999,0.55972,0.49321,0.49217,0.27229,1.49591,1.82783,1.88392,0.000709809,0.000709809,0.000709809
31,2322.26,1.2755,1.76439,1.73868,0.55005,0.4902,0.49509,0.27082,1.49395,1.81871,1.89398,0.000676802,0.000676802,0.000676802
32,2396.56,1.27231,1.75199,1.73297,0.55475,0.48968,0.49723,0.27921,1.48746,1.82411,1.87145,0.000643795,0.000643795,0.000643795
33,2473.9,1.26751,1.755,1.73801,0.57077,0.49598,0.50521,0.27815,1.47596,1.80531,1.87571,0.000610789,0.000610789,0.000610789
34,2546.44,1.26386,1.73932,1.73072,0.57085,0.50969,0.49782,0.26976,1.49794,1.82106,1.87701,0.000577782,0.000577782,0.000577782
35,2623,1.24611,1.74081,1.71505,0.56583,0.49751,0.50807,0.28652,1.44551,1.77245,1.85253,0.000544776,0.000544776,0.000544776
36,2695.83,1.25101,1.71774,1.71554,0.59187,0.49095,0.51656,0.29238,1.4325,1.7743,1.82295,0.000511769,0.000511769,0.000511769
37,2768.88,1.24642,1.71849,1.71049,0.57269,0.49664,0.51395,0.29117,1.44806,1.76315,1.83699,0.000478762,0.000478762,0.000478762
38,2845.23,1.23823,1.70462,1.70803,0.58995,0.49912,0.51652,0.29446,1.43988,1.76356,1.82861,0.000445756,0.000445756,0.000445756
